"titles","abstract","year","geography","categoryTitle","categoryText"
"Human health risk assessment of metals exposure through subsistence foods consumption and subsistence harvest activities near a mining transport road in northwest Alaska","Historical transport of ore concentrate over a 50-mile haul road from the Red Dog zinc/lead mine in northwest Alaska to a seaport has been associated with elevated lead levels on moss growing near the road and with concerns about the safety of subsistence foods. As part of a comprehensive evaluation of potential impacts to human health and the environment from metals released during overland transport of ore concentrate, a human health risk assessment was conducted. Exposure to site-related metals through subsistence food consumption, water ingestion, and incidental soil ingestion was evaluated for three scenarios: child subsistence use, adult subsistence use, and adult combined occupational and subsistence use. The risk assessment used local subsistence food consumption data and subsistence harvest area information, along with metal concentrations from soil, water, caribou, fish, ptarmigan, berries, and sourdock collected on or near the road and port. The results, along with other lines of evidence, indicate that risks associated with subsistence food consumption and harvest activities are well within acceptable limits for each scenario and that subsistence foods remain safe to eat. Additionally, human health risks are not elevated even when data from restricted areas of the road and port are included.","0","Alaska","None","soil"
"Public health. Childhood lead exposure in Wisconsin in 1990","It will take the cooperation of many people to address the issue of lead poisoning. The recent death has dramatized the problem of high dose exposures. But a larger challenge is posed by the fact that most preschool children in Wisconsin are not screened for lead and as a result many asymptomatic children without signs of pica behavior will experience subtle neurological damage as a result of low to moderate elevations of lead in blood. Because many of these cases occur in children without recognized pica behavior, doctors need to expand screening, especially during well child visits, to identify children with elevated blood lead levels. Additionally, the public health community and property owners need to evaluate and control sources of lead. Major efforts are needed to address the lead hazards which now impair hundreds of Wisconsin children each year.","1991","Wisconsin","None","social"
"UMBILICAL-CORD BLOOD LEAD LEVELS IN CALIFORNIA","During the fall of 1984, we conducted a survey of umbilical cord blood lead levels of 723 live births that occurred at 5 hospitals located in 5 cities in California. Historical ambient air lead levels were used as a qualitative surrogate of air and dust exposure. The area-specific cord blood means (all means approximately 5-mu-g/dl), medians, deciles, and distributions did not vary among locations. The California distributions included means that were lower than the 6.6-mu-g/dl reported in Needleman et al.'s Boston study in 1979. Indeed, the entire California distribution was shifted to the left of the Boston study distribution, even though 3% of the California cord lead levels exceeded 10-mu-g/dl-the level above which Needleman et al. have documented psychoneurological effects in children during the first few years of life. Fourteen percent of premature babies had cord blood lead levels above 10-mu-g/dl. The association between prematurity (i.e., < 260 d gestation) and elevated (> 5-mu-g/dl) cord blood lead was observed in all hospitals and yielded a relative risk of 2.9 (95% Cl: .9, 9.2) and a population attributable risk of 47%. Further research is needed to confirm this association and to explore the roles of endogenous and exogenous sources of lead exposure to the mothers who give birth to premature infants.","1991","California","None","None"
"RESIDENTIAL DELEADING - EFFECTS ON THE BLOOD LEAD LEVELS OF LEAD-POISONED CHILDREN","Acute elevations of venous blood lead levels (PbB) are periodically reported in children with chronic lead poisoning, during deleading of their houses. To evaluate this phenomenon 114 preschool children who entered the Massachusetts Childhood Lead Poisoning Prevention Program case management system during 1984 and 1985 were retrospectively studied. PbB increased from a mean (+/- SE) of 1.76 +/- 0.03-mu-mol/L (36.4 +/- 0.6-mu-g/dL) prior to deleading to 2.03 +/- 0.07-mu-mol/L (42.1 +/-1.5-mu-g/dL) during deleading (P < .001). Among 41 subjects for whom deleading was done by dry scraping and sanding, the mean mid-deleading PbB was higher than the pre-deleading PbB by 0.44 +/- 0.12-mu-mol/L (9.1 +/- 2.4-mu-/dL). However, when deleading was done by covering or replacement of painted surfaces in the residences of 12 subjects, mid-deleading PbB decreased 0.11 +/- 0.12-mu-g/dL) (2.25 +/- 2.4-mu-g/dL) (P < .005). In a subset of 59 subjects who had no chelation therapy and were available for follow-up 250 +/- 14 days after completion of deleading, PbB had decreased from 1.72 +/- 0.04-mu-mol/L (35.7 +/- 0.9-mu-g/dL to 1.24 +/- 0.04-mu-mol/L (25.5 +/- 0.9-mu-g/dL) (P < .001). The long-term effect of deleading is a significant reduction in PbB. However, deleading resulted in a significant, albeit transient, increase in PbB.","1991","Massachusetts","None","None"
"LEAD-INTOXICATION IN INFANCY","Four years of experience in the evaluation and management of lead intoxication in the first year of life were reviewed. This study was conducted in a lead referral program within the state of Massachusetts, whose comprehensive lead laws include extensive (and now mandatory) lead screening of all children. Over the period of study, 50 (14%) of 370 new patients enrolled in the program were infants aged 12 months or younger. Median age of these infants was 11 months (range 1 through 12 months). Mean peak lead level was 39.0-mu-g/dL while the mean peak erythrocyte protoporphyrin concentration was 111.9-mu-g/dL of whole blood. Thirty-two percent of infants were ambulatory at the time lead intoxication was diagnosed, only 24% had a history of pica. Twenty-six percent of parents were welfare dependent. Apparent sources of plumbism included household renovation (n = 20), direct ingestion of paint chips (n = 10), formula preparation with lead-contaminated water (n = 9), lead dust importation (n = 1), and congenital exposure to elevated maternal lead level (n = 1). In 9 cases the source was not found. When this profile was compared with that of a randomly selected group of 47 children aged 18 through 30 months, who were seen in the lead program during the same interval, apparent sources of intoxication in the older group were paint chip ingestion (n = 41), household renovation (n = 2), and unknown (n = 4) (P < .0001). On the basis of these data, it is concluded that lead intoxication in infants is common and has significantly different origins from that in toddlers. Lead intoxication from infant formula reconstituted with contaminated water may account for many of these cases. These findings support recommendations that lead screening begin at the age of 6 months for children with any likelihood of lead exposure.","1992","Massachusetts","None","water"
"Blood lead levels among children in high-risk areas--California, 1987-1990","In the United States, elevated blood lead levels (BLLs) are a major health risk for children; this risk is totally preventable (1). To better characterize lead poisoning among children at high risk for lead exposure in California, the California Department of Health Services (CDHS) conducted lead-screening surveys that measured lead levels in children's blood, household paint, and soil in three selected high-risk areas in northern, southern, and central California. This report summarizes the survey findings and describes CDHS's efforts to reduce lead exposure among children in California, especially among those in high-risk areas.","1992","California","None","soil"
"Reassessment of lead exposure in New Jersey using GIS technology","In order to prevent children's exposure to lead, a variety of sources must be controlled. The New Jersey Department of Environmental Protection and Energy (NJDEPE) is using its Geographic Information System to identify areas within Newark, East Orange, and Irvington, New Jersey, where there may be greater environmental exposure to lead. Sensitive populations are identified through the U.S. Bureau of the Census information. Blood screening data provided by the New Jersey Department of Health (NJDOH) provide reported patterns of elevated blood lead in the study area. Comparisons of these spatial patterns will assist the NJDEPE in its soil sampling activities and lead exposure research, will provide information for public education, and will provide valuable information on sections of the study area where further screening and public education may be needed.","1992","New Jersey","None","soil"
"Assessment of blood lead levels in children living in a historic mining and smelting community","Lead poisoning in childhood is an important public health problem, and thus, it is important to determine how children are exposed to lead. In 1987, the authors conducted an exposure assessment and blood lead screening for children aged 6-71 months living in Leadville, Colorado. High levels of lead had been found in the soil as a result of both past mining and smelting activities and natural mineralization. Blood was collected from each child for lead analysis, and behavioral characteristics were identified through an interview with a parent or guardian. Three sources of exposure to lead were associated with blood lead levels: lead in a core sample taken from the backyard of the family's home, lead brought home on the clothes of a miner, and lead from soldering in the home. Two pathways of exposure were associated with blood lead levels: the child swallowing things other than food, and taking food or a bottle outside to play. Multivariate regression using these variables found effect modification by age. For children aged 6-36 months, only sources of exposure were independent predictors of blood lead levels, while in children aged 37-71 months, a pathway of exposure in addition to sources of exposure independently predicted blood lead levels.","1993","Colorado","None","soil"
"Lead poisoning among low-income children in Orange County, California. A need for regionally differentiated policy","OBJECTIVETo estimate the prevalence of elevated lead levels among children in Orange County, California, and to evaluate the appropriateness of a universal pediatric blood lead screening policy in this community.DESIGNVenous blood lead testing was conducted and results were analyzed according to seven blood lead strata ranging from less than 0.50 mumol/L (10 micrograms/dL) to 3.35 mumol/L (70 micrograms/dL) or higher. A cost analysis of the lead-testing program in Orange County was conducted.SETTINGChildren meeting poverty eligibility criteria and attending the Child Health and Disability Prevention Program, the state's implementation of the federal Early and Periodic Screening, Diagnosis and Treatment (EPSDT) services program.PARTICIPANTSA total of 5115 Orange County children between 12 and 72 months of age using EPSDT services from March through December 1992.MAIN OUTCOME MEASURESBlood lead levels and associated costs of the testing program stratified by level of blood lead elevation.RESULTSBlood lead levels of 0.50 mumol/L (10 micrograms/dL) or higher were found in 371 children (7.25%; 95% confidence interval, 6.66% to 7.85%), but only six children (0.12%; 95% confidence interval, 0.04% to 0.20%) had elevations greater than 1.20 mumol/L (25 micrograms/dL). Five children (83.3%) had histories of lead consumption unrelated to ingestion of lead-containing paint but related to the use of lead-containing folk remedies and cooking utensils. Costs for detection of children with blood levels elevated to 0.50 mumol/L (10 micrograms/dL) or higher was $310 per child and for levels of 1.20 mumol/L (25 micrograms/dL) or higher was $19,139 per child.CONCLUSIONSThese data suggest that lead poisoning is not a major public health problem among Orange County children and detection of infrequent cases would involve a high cost per child. In jurisdictions with newer housing, initial screening for a history of possible lead exposure alone may offer reasonable efficacy that is cost-effective. The scope of lead-testing programs should be determined according to local needs and conditions.","1993","California","None","social"
"Blood lead levels among children in Hawaii","The objectives of this study were to estimate blood lead levels of children under 6 years of age in the State of Hawaii, to identify high-risk populations, and to decide what kind of blood lead screening program is needed in Hawaii. Children from Oahu and Maui were recruited in medical care facilities and 6 preschools. Informed consent for a blood lead test was obtained from the parents. A questionnaire was administered whenever possible; participation/response rates were quite low, varying between 15% and 50%. The mean blood lead level for the 389 study participants was 4.5 micrograms/dL. Twelve children (3% of children tested) had a level above 9 micrograms/dL. No child was found to have a level above 14 micrograms/dL. Blood lead levels varied by age, geographic area, occupational factors, laboratory that performed the analysis, and type of phlebotomy (capillary versus venous) but not by sex, ethnicity or age of home. Follow-up investigations in the 12 homes of the children with levels above 9/lg/dL were performed and in 3 homes a possible source of lead exposure was found.","1993","Hawaii","None","None"
